"player_id","entity_name","team_name","start_year","end_year","runner_runs_tot","runner_runs_XB","runner_runs_SBX","N_runner_moved","runner_runs_XB_swipe","runner_runs_XB_snipe","runner_runs_XB_freeze","N_runner_moved_XB","runner_runs_SB2","runner_runs_SB3","simple_stolen_on_running_act_SB2","simple_stolen_on_running_act_SB3","N_runner_moved_SBX"
682998,"Carroll, Corbin","AZ",2024,2024,12.328233808713039,8.620501667567703,3.7077321411453354,120,9.609167308799025,0,-0.9886656412313258,78,3.026493568621573,0.6812385725237617,17.48691460406546,4.140173527383426,42
660271,"Ohtani, Shohei","LAD",2024,2024,7.708626456538432,0.9543674741946674,6.754258982343765,122,4.858763074813419,-1.6499709656204495,-2.2544246349983035,70,5.18371974225439,1.5705392400893718,27.152734342851645,7.160387107658579,52
672580,"Garcia, Maikel","KC",2024,2024,7.606015497889922,2.5574117824377316,5.048603715452191,104,4.790679259362749,-0.8167186710305551,-1.4165488058944624,66,2.426231156364053,2.6223725590881375,13.280999033891973,12.552797067166752,38
682829,"De La Cruz, Elly","CIN",2024,2024,7.423602349086652,1.8385931009011767,5.585009248185475,148,7.810982586331619,-5.368524234114273,-0.6038652513161696,78,2.6530347842105964,2.931974463974879,23.225889476960145,16.758980934803837,70
645302,"Robles, Victor","SEA",2024,2024,7.217490912279948,1.6226811714299094,5.594809740850039,66,2.059426559617522,0,-0.43674538818761216,35,3.3870044400576513,2.207805300792387,15.157371670962787,10.797422909144121,31
668930,"Turang, Brice","MIL",2024,2024,6.935572006386882,0.9154369089126674,6.020135097474214,90,3.9445368825572227,-1.7547893977894207,-1.274310575855134,42,4.452716887709822,1.56741820976439,23.461631095785993,7.273536334790507,48
680776,"Duran, Jarren","BOS",2024,2024,6.34808412299217,5.7191178947421815,0.6289662282499887,116,9.081199879262426,-2.4294686147289575,-0.932613369791287,89,0.6798552440399079,-0.050889015789918945,5.84216046379103,0.3101572087436112,27
666152,"Hamilton, David","BOS",2024,2024,6.187077749989008,1.7283582189843907,4.4587195310046175,57,1.9929681557155718,0,-0.2646099367311816,23,2.7771738475658485,1.6815456834387696,16.294162460926128,8.132077709639377,34
691718,"Crow-Armstrong, Pete","CHC",2024,2024,5.8101916342163165,1.398418604861349,4.4117730293549675,53,2.5959777395405843,-0.8503280999339354,-0.3472310347453004,26,3.7458122796496967,0.665960749705271,18.995025656328597,3.24489208243461,27
608070,"Ramírez, José","CLE",2024,2024,5.687945516626301,2.014751164823034,3.673194351803267,91,4.382140690263408,-1.527979265273491,-0.8394102601668838,57,3.1854767213607564,0.48771763044251093,17.408208389378434,3.3263695205438757,34
669364,"Edwards, Xavier","MIA",2024,2024,5.525221762564749,2.3759231309515187,3.14929863161323,61,3.2567387156741603,0,-0.8808155847226414,30,3.0882586880236067,0.0610399435896247,16.443653668643403,0.9761061934541758,31
